date,State- District,Country Code,Zon,income_median,expenditure_mean,gini,poverty
"Saturday, January 1, 2022",Perak-Manjung,PRK,Ut ara,5135,3912,0.35358,3.8
"Saturday, January 1, 2022",Perak-Kinta,PRK,Ut ara,5037,4383,0.35771,3.8
"Saturday, January 1, 2022",Perak-Kerian,PRK,Ut ara,3996,3615,0.36419,8.7
"Saturday, January 1, 2022",Perak-Kuala Kangsar,PRK,Ut ara,3813,3488,0.39084,13
"Saturday, January 1, 2022",Perak-Larut Dan Matang,PRK,Ut ara,4029,3798,0.36465,9.2
"Saturday, January 1, 2022",Perak-Hilir Perak,PRK,Ut ara,4199,3386,0.3904,14.8
"Saturday, January 1, 2022",Perak-Hulu Perak,PRK,Ut ara,3467,2889,0.3989,16.3
"Saturday, January 1, 2022",Perak-Perak Tengah,PRK,Ut ara,4564,3744,0.39074,11.1
"Saturday, January 1, 2022",Perak-Kampar,PRK,Ut ara,4347,3276,0.3056,4.7
"Saturday, January 1, 2022",Perak-Muallim,PRK,Ut ara,5015,4374,0.35908,9.2
"Saturday, January 1, 2022",Perak-Bagan Datuk,PRK,Ut ara,4076,3150,0.36109,12.4
"Saturday, January 1, 2022",Perak-Selama,PRK,Ut ara,3673,3150,0.29903,5.3
"Saturday, January 1, 2022",Perlis-Perlis,PLS,Ut ara,4713,3834,0.33589,4
"Saturday, January 1, 2022",Selangor-Gombak,SGR,Tengah,10180,6673,0.39247,2.4
"Saturday, January 1, 2022",Selangor-Klang,SGR,Tengah,8203,6622,0.34658,2.2
"Saturday, January 1, 2022",Selangor-Kuala Langat,SGR,Tengah,10093,5621,0.27733,0.3
"Saturday, January 1, 2022",Selangor-Kuala Selangor,SGR,Tengah,7644,5543,0.34646,2.8
"Saturday, January 1, 2022",Selangor-Petaling,SGR,Tengah,9618,7721,0.39198,1.6
"Saturday, January 1, 2022",Selangor-Sabak Bernam,SGR,Tengah,5533,5128,0.32091,5.3
"Saturday, January 1, 2022",Selangor-Sabak Bernam,SGR,Tengah,5533,5128,0.32091,5.3
"Saturday, January 1, 2022",Selangor-Sepang,,Tengah,12608,6976,0.22915,0
"Saturday, January 1, 2022",Selangor-Ulu Langat,SGR,Tengah,11210,6289,0.32633,0.5
"Saturday, January 1, 2022",Selangor-Ulu Selangor,SGR,Tengah,7678,4604,0.29704,1.7
"Saturday, January 1, 2022",Terengganu-Besut,TRG,Timur,4743,4191,0.33019,12.7
"Saturday, January 1, 2022",Terengganu-Dungun,TRG,Timur,6356,5215,0.30756,2.2
"Saturday, January 1, 2022",Terengganu-Kemaman,TRG,Timur,6425,4978,0.37757,4.1
"Saturday, January 1, 2022",Terengganu-Kuala Terengganu,TRG,Timur,5872,4881,0.29973,5.9
"Saturday, January 1, 2022",Terengganu-Marang,TRG,Timur,5291,4675,0.32464,9
"Saturday, January 1, 2022",Terengganu-Hulu Terengganu,TRG,Timur,5090,4332,0.2934,10.8
"Saturday, January 1, 2022",Terengganu-Setiu,TRG,Timur,5211,4017,0.27489,7.5
"Saturday, January 1, 2022",Terengganu-Kuala Nerus,TRG,Timur,6800,5224,0.27252,1.9
"Saturday, January 1, 2022",Sabah-Tawau,SBH,MalaysiaTimur,4783,3118,0.3881,14.4
"Saturday, January 1, 2022",Sabah-Lahad Datu,SBH,MalaysiaTimur,4457,3346,0.38801,23.5
"Saturday, January 1, 2022",Sabah-Semporna,SBH,MalaysiaTimur,4093,2466,0.34139,28
"Saturday, January 1, 2022",Sabah-Sandakan,SBH,MalaysiaTimur,4828,3315,0.34659,17.7
"Saturday, January 1, 2022",Sabah-Kinabatangan,SBH,MalaysiaTimur,4162,2394,0.39224,28.9
"Saturday, January 1, 2022",Sabah-Beluran,,MalaysiaTimur,3131,2301,0.39895,37.7
"Saturday, January 1, 2022",Sabah-Kota Kinabalu,SBH,MalaysiaTimur,5957,4427,0.43131,10.3
"Saturday, January 1, 2022",Sabah-Ranau,,MalaysiaTimur,4058,2894,0.37495,25.4
"Saturday, January 1, 2022",Sabah-Kota Belud,SBH,MalaysiaTimur,3429,2791,0.42499,27.8
"Saturday, January 1, 2022",Sabah-Tuaran,SBH,MalaysiaTimur,3921,3133,0.36609,25.8
"Saturday, January 1, 2022",Sabah-Penampang,SBH,MalaysiaTimur,6265,4194,0.32997,6.7
"Saturday, January 1, 2022",Sabah-Papar,SBH,MalaysiaTimur,4871,3494,0.34067,16.2
"Saturday, January 1, 2022",Sabah-Kudat,SBH,MalaysiaTimur,2994,3080,0.36898,34.7
"Saturday, January 1, 2022",Sabah-Kota Marudu,SBH,MalaysiaTimur,2677,2951,0.41883,49.9
"Saturday, January 1, 2022",Sabah-Pitas,SBH,MalaysiaTimur,2329,2562,0.3857,52.7
"Saturday, January 1, 2022",Sabah-Beaufort,SBH,MalaysiaTimur,4018,3141,0.33769,19.8
"Saturday, January 1, 2022",Sabah-Kuala Penyu,SBH,MalaysiaTimur,3487,2777,0.32354,17.6
"Saturday, January 1, 2022",Sabah-Sipitang,SBH,MalaysiaTimur,4182,3093,0.36014,22.1
"Saturday, January 1, 2022",Sabah-Tenom,SBH,MalaysiaTimur,4045,3267,0.33645,15.8
